AT1G01010	NAC001
AT1G01030	NGA3
AT1G01060	LHY
AT1G01150	AT1G01150
AT1G01250	ERF023
AT1G01260	BHLH13
AT1G01380	ETC1
AT1G01520	AT1G01520
AT1G01530	AGL28
AT1G01720	NAC002
AT1G02030	ZAT1
AT1G02065	SPL8
AT1G02210	AT1G02210
AT1G02220	NAC003
AT1G02230	NAC004
AT1G02250	NAC005
AT1G02340	HFR1
AT1G03040	AT1G03040
AT1G03490	NAC006
AT1G03800	ERF10
AT1G03840	MGP
AT1G03970	GBF4
AT1G04370	ERF14
AT1G04880	HMGB15
AT1G05230	HDG2
AT1G05805	BHLH128
AT1G05920	AT1G05920
AT1G05930	AT1G05930
AT1G06070	AT1G06070
AT1G06160	ERF094
AT1G06170	BHLH89
AT1G06180	ATMYB13
AT1G06280	LBD2
AT1G06850	AtbZIP52
AT1G06910	TRFL7
AT1G07120	AT1G07120
AT1G07470	AT1G07470
AT1G07520	AT1G07520
AT1G07530	SCL14
AT1G07540	TRP5
AT1G07640	OBP2
AT1G07900	LBD1
AT1G08000	GATA10
AT1G08010	GATA11
AT1G08290	WIP3
AT1G08320	TGA9
AT1G08465	YAB2
AT1G08540	SIGB
AT1G08810	MYB60
AT1G08985	AT1G08985
AT1G09030	NFYB4
AT1G09060	AT1G09060
AT1G09530	PIF3
AT1G09540	MYB61
AT1G09710	AT1G09710
AT1G09770	CDC5
AT1G10120	BHLH74
AT1G10170	ATNFXL1
AT1G10240	FRS11
AT1G10455	AT1G10455
AT1G10480	ZFP5
AT1G10585	BHLH167
AT1G10586	BHLH168
AT1G10610	BHLH90
AT1G10720	AT1G10720
AT1G11510	AT1G11510
AT1G12260	NAC007
AT1G12540	BHLH55
AT1G12610	DREB1F
AT1G12630	ERF027
AT1G12860	SCRM2
AT1G12890	ERF088
AT1G12980	ESR1
AT1G13260	RAV1
AT1G13290	WIP6
AT1G13300	HRS1
AT1G13400	JGL
AT1G13450	GT-1
AT1G13600	AtbZIP58
AT1G13880	AT1G13880
AT1G13960	WRKY4
AT1G14350	MYB124
AT1G14410	WHY1
AT1G14580	AT1G14580
AT1G14600	AT1G14600
AT1G14685	BPC2
AT1G14687	ZHD14
AT1G14900	HMGA
AT1G14920	GAI
AT1G15340	MBD10
AT1G15360	WIN1
AT1G15720	TRFL5
AT1G16060	ADAP
AT1G16490	MYB58
AT1G16530	LBD3
AT1G16640	AT1G16640
AT1G17310	AT1G17310
AT1G17460	TRFL3
AT1G17520	AT1G17520
AT1G17590	NFYA8
AT1G17920	HDG12
AT1G17950	MYB52
AT1G18330	RVE7
AT1G18400	BEE1
AT1G18560	AT1G18560
AT1G18570	MYB51
AT1G18710	AtMYB47
AT1G18750	AGL65
AT1G18790	RKD1
