,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
AT1G07640,AT1G07640_glue,0.054126794258373204,3.762154663438503,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT5G67460', 2.0792886634814205), ('AT3G52900', 16.080544806104292), ('AT5G04230', 33.5988995914385), ('AT1G28400', 11.155050400623868), ('AT3G14440', 0.9634140641079167), ('AT4G13600', 22.71914069502247), ('AT5G19260', 45.924790332992), ('AT1G20930', 0.9457121647767186), ('AT2G37590', 22.932204749837982), ('AT3G11930', 72.49747703772093), ('AT1G70470', 5.08386915509295), ('AT1G49870', 0.935098107847198), ('AT2G01913', 69.94154472186057), ('AT5G24800', 76.58507050755517), ('AT3G25980', 0.9921107564452868), ('AT3G06020', 9.56254873864165), ('AT5G12140', 19.21590499675584), ('AT1G22710', 15.101877803037816), ('AT1G61820', 2.3234265796677933), ('AT3G62690', 27.785329150526216), ('AT4G39770', 66.37786162083759), ('AT5G17450', 12.914998354728148), ('AT3G15353', 36.61518229715525), ('AT3G14990', 36.627626964451984), ('AT4G39190', 42.28809159065715), ('AT1G20610', 1.1461039529079118), ('AT4G36710', 24.991149551146226), ('AT1G29160', 21.65514199906869), ('AT1G54410', 16.999538423271844), ('AT5G44040', 2.1605692387953943), ('AT2G39510', 0.5759524129101797), ('AT4G34560', 35.73785137765946), ('AT5G02380', 5.684266464307583), ('AT3G07800', 1.240635026627024), ('AT5G02460', 52.64832342765054), ('AT4G29920', 6.760577793872463), ('AT2G21060', 15.152950973991732), ('AT4G31500', 4.998770140530738), ('AT4G20270', 50.25862681727629), ('AT1G50490', 1.2278078231541485), ('AT1G60390', 21.215056504967077), ('AT1G68430', 20.283581784024427), ('AT1G62045', 7.980331928710983), ('AT5G42146', 1.3117866420728546), ('AT5G22090', 6.209445646334601), ('AT2G22190', 3.06256983602827), ('AT4G31840', 1.9391570737363224), ('AT5G20700', 6.794090669687583), ('AT1G31770', 0.7016172922323145), ('AT2G16850', 10.087754725910504), ('AT2G42110', 6.05396518232094), ('AT1G64700', 26.308355095568437), ('AT5G12030', 0.7980757245994263), ('AT1G45201', 0.6192550607789037), ('AT5G01910', 5.090165923902476), ('AT3G16330', 3.709905215146998), ('AT2G26760', 0.9462113546187324), ('AT1G31812', 0.5307788795920805), ('AT4G00780', 0.6603582600253678), ('AT3G02800', 1.7353411430494428), ('AT3G23030', 0.8511688109525111), ('AT4G14010', 2.9027222140409807), ('AT5G27690', 3.654066585461421), ('AT4G00880', 0.5166072264254243), ('AT1G49470', 28.920721535214447), ('AT2G30540', 1.2141304443175909), ('AT5G02600', 14.404284156290217), ('AT1G23040', 12.656899523786787), ('AT2G18380', 7.3329199003137076), ('AT2G37880', 5.6721941857764175), ('AT3G60840', 8.044132604806492), ('AT2G19110', 1.9418403138609115), ('AT1G07640', 1.0), ('AT5G37660', 47.49240718775071), ('AT2G15680', 1.5881773065255804), ('AT5G05160', 22.18076813666028), ('AT4G02150', 0.5717368114680909), ('AT5G23360', 43.26522342445931), ('AT5G40980', 17.330710254193175), ('AT1G01190', 0.551289642438386), ('AT5G18240', 0.9060773388979276), ('AT5G64240', 1.2862530695417156), ('AT2G31940', 1.489287482354522), ('AT4G19840', 1.7547721006298274), ('AT1G77885', 42.87599015458929), ('AT3G10870', 13.210473153279526), ('AT3G60490', 15.587299227443705), ('AT1G70670', 50.08312677375351), ('AT1G20070', 11.533345615348477), ('AT2G39700', 1.7991738890422957), ('AT5G38300', 8.655723249291677), ('AT5G50720', 13.66333368344072), ('AT5G08350', 42.73282829421459), ('AT5G23350', 17.597496260121364), ('AT2G37460', 14.721275448670443), ('AT1G69580', 1.7521230903455736), ('AT3G03270', 17.513207947129075), ('AT5G57350', 10.98494295909878), ('AT3G24500', 3.805963167906692)]",491
AT1G12260,AT1G12260_glue,0.05905567300916138,3.3473287673984324,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G55210', 0.6307219710126802), ('AT4G18780', 37.21385402083191), ('AT3G62160', 33.48712303751372), ('AT2G27740', 18.50434433605238), ('AT1G68810', 2.307920787491668), ('AT1G02335', 21.81029761398097), ('AT2G37040', 1.6244443289260633), ('AT3G25900', 20.72367277953956), ('AT1G02640', 7.380063122890042), ('AT5G60490', 18.283276013770863), ('AT5G26330', 25.32027642539606), ('AT3G10340', 2.282412297523507), ('AT3G62020', 28.93389544402685), ('AT4G14940', 6.763586091823558), ('AT1G27440', 14.635196264107982), ('AT1G01900', 23.265129567360137), ('AT3G50220', 24.65437989274894), ('AT3G53620', 12.1138974040009), ('AT1G19300', 21.28243135411497), ('AT4G19420', 3.380422008227061), ('AT3G05165', 14.38021512899411)]",71
AT1G28470,AT1G28470_glue,0.05160298638559508,3.171040734894501,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT4G18780', 0.9705070807189452), ('AT1G23530', 37.234274704688566), ('AT1G75700', 14.855284078340798), ('AT3G17730', 23.78219113691982), ('AT3G62020', 0.9614888629798188), ('AT5G22870', 44.54629907906438), ('AT3G10680', 4.401661352258585), ('AT1G69580', 2.9615685000822327), ('AT1G31720', 20.368638563154512), ('AT3G08500', 1.3735391648798605), ('AT5G02140', 0.8493005892727312), ('AT5G67550', 43.02189700549487), ('AT3G05890', 0.6696595243259797), ('AT3G46230', 0.8515506540508546), ('AT2G44930', 25.375758248670277), ('AT4G35970', 9.647099147017483), ('AT3G62160', 3.2209378814831644), ('AT2G27035', 30.8991153009005), ('AT5G38610', 2.907060566162952), ('AT3G28210', 0.6806388703455418), ('AT4G00230', 1.062457946871611), ('AT1G13195', 1.786192388328682), ('AT1G23460', 0.97648990537526), ('AT4G33490', 20.71342605707139), ('AT1G11570', 35.153294024818905), ('AT5G67210', 3.7291888675359015), ('AT3G22400', 31.707466583244884), ('AT3G01670', 45.78191159125039), ('AT2G27300', 42.176849229317), ('AT1G62045', 15.996434159703236), ('AT2G46760', 0.8463939637092158)]",113
AT1G32330,AT1G32330_glue,0.11665676371558724,4.534722397906521,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G03070', 1.0240452639997466), ('AT2G26150', 1.1109007623974734), ('AT5G52640', 3.12725846047764), ('AT5G51440', 2.280327910622694), ('AT4G10250', 2.3456562891120885), ('AT5G48570', 2.158877363123614), ('AT2G19310', 0.9733481413574055), ('AT1G59860', 1.131833901337978), ('AT1G16030', 4.776338485079365), ('AT3G46230', 2.3170793626261688), ('AT2G20560', 2.3835741053648536), ('AT5G54165', 0.6454629234251934), ('AT4G05100', 2.1114465083114884), ('AT1G14200', 0.6856181197405484), ('AT1G07400', 1.626925567928732)]",63
AT1G73360,AT1G73360_glue,0.12323232323232323,5.475804943602075,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT4G18970', 0.672700362714758), ('AT1G24020', 0.9440244550278816), ('AT5G26280', 1.1820616254274343), ('AT5G23820', 2.5368734190363846), ('AT5G11160', 2.538089999738113), ('AT3G16400', 1.2410807606462462), ('AT4G15620', 4.381161039588485), ('AT1G11600', 2.7956790084640235), ('AT1G55260', 0.790595189656835), ('AT4G32460', 2.525442994564044)]",80
AT1G74650,AT1G74650_glue,0.05861244019138756,3.1589044777464586,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT4G37410', 12.636800600132853), ('AT3G16400', 6.646451784340295), ('AT3G09270', 9.420910082531677), ('AT3G20370', 9.905165206553924), ('AT1G29670', 0.6240893011924532), ('AT3G09260', 12.56599621126224), ('AT3G26450', 3.412974252880088), ('AT5G36910', 1.2287925608440369), ('AT1G76790', 4.864370465424188), ('AT5G26280', 7.1143209817934085), ('AT1G21100', 0.6022934124213588), ('AT3G16530', 1.1981769154676276), ('AT3G44990', 3.164393446789658), ('AT2G22760', 0.5815838213662438), ('AT4G23870', 4.738579941067435), ('AT1G01380', 0.7984433742983608), ('AT1G62300', 0.5496987136340994), ('AT1G04680', 0.7671933133235417), ('AT5G36925', 0.6663881650740531), ('AT1G58270', 2.1519839884855494), ('AT1G03920', 2.2600961538130493)]",472
AT1G79180,AT1G79180_glue,0.14112554112554113,4.179546311129993,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT2G30490', 3.274477402012024), ('AT4G34230', 0.7295911796684977), ('AT1G51680', 9.613201180188296), ('AT1G73120', 2.314541035330445), ('AT4G14010', 0.5368311871067446), ('AT1G55210', 1.1439715569521047), ('AT1G80050', 0.901003592645062), ('AT3G23810', 1.2464478408916555), ('AT1G21520', 18.72783661680049), ('AT2G44300', 30.507828335357097)]",90
AT2G20110,AT2G20110_glue,0.1351290684624018,5.451492684650158,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G44110', 20.48924568427512), ('AT4G02150', 0.6880242901971642), ('AT3G15550', 1.4833691999768666), ('AT5G17160', 7.380303480186395), ('AT5G45280', 0.6673254794118777), ('AT4G38062', 0.813373255589574), ('AT3G23730', 1.1274238645256855), ('AT3G22880', 3.358570215495408), ('AT2G33793', 25.56623451373614), ('AT4G04890', 2.0587950887801765), ('AT1G53140', 15.495651134406613), ('AT1G72250', 4.587540877267939), ('AT3G55660', 0.7706810306882593), ('AT1G04110', 0.7310020115590709), ('AT2G26180', 18.956859726981747), ('AT1G20930', 4.1679345785597794), ('AT5G42720', 3.0123479340577224), ('AT4G23800', 23.52320573185705), ('AT5G62550', 14.39427148200686), ('AT5G60930', 6.998936519678101), ('AT4G05190', 5.602642802057935), ('AT3G01710', 4.740151741872396), ('AT5G22880', 0.6025244959965625), ('AT1G02690', 10.652166970466286), ('AT5G60880', 5.420723698417426), ('AT2G33560', 0.7196298889705336), ('AT5G01910', 3.5553738978828227), ('AT3G23890', 10.96640074989756), ('AT1G73620', 1.053017453969584), ('AT3G17680', 32.378986090629695), ('AT1G06760', 1.7399401466012887), ('AT5G67270', 4.382617655916864), ('AT5G06150', 3.168545213248365), ('AT4G01730', 1.746489175257133), ('AT2G28740', 0.8441659090432247), ('AT2G25060', 6.58812983324519), ('AT1G76540', 4.540644649681415), ('AT2G22610', 3.3213441301270508), ('AT3G51280', 3.9854829147497424), ('AT4G15830', 3.241986666764221), ('AT5G59870', 1.3373987799775349), ('AT5G05160', 1.8682805351076648), ('AT3G53730', 0.5555635518369058), ('AT5G45700', 0.7090058518660841), ('AT3G04630', 6.007753073027102), ('AT4G31805', 3.152677852267137), ('AT5G55520', 2.9177668207693364), ('AT1G76310', 2.479712714987253), ('AT1G23170', 0.6816698969374686), ('AT5G10390', 0.6653032423589939), ('AT4G26660', 0.5250234587615538), ('AT3G53650', 1.5126978009150405), ('AT3G25980', 4.350456533306118), ('AT2G33400', 0.8094528158146191), ('AT1G18370', 2.087961305345737), ('AT2G28620', 0.6802328419662151), ('AT1G08560', 5.40917341223146)]",497
